end,value
30-Jul-16,228505
6-Aug-16,217355
13-Aug-16,214460
20-Aug-16,213844
27-Aug-16,215701
3-Sep-16,191394
10-Sep-16,203756
17-Sep-16,196886
24-Sep-16,198508
1-Oct-16,235443
8-Oct-16,231544
15-Oct-16,235115
22-Oct-16,243678
29-Oct-16,256432
5-Nov-16,222421
12-Nov-16,285726
19-Nov-16,248564
26-Nov-16,349563
3-Dec-16,303394
10-Dec-16,313405
17-Dec-16,340971
24-Dec-16,348570
31-Dec-16,412501
7-Jan-17,349750
14-Jan-17,281260
21-Jan-17,278432
28-Jan-17,257200
4-Feb-17,243564
11-Feb-17,237429
18-Feb-17,210980
25-Feb-17,241565
4-Mar-17,220334
11-Mar-17,222989
18-Mar-17,226796
25-Mar-17,206632
1-Apr-17,237177
8-Apr-17,224311
15-Apr-17,239671
22-Apr-17,208830
29-Apr-17,213073
6-May-17,204978
13-May-17,208490
20-May-17,228785
27-May-17,209893
3-Jun-17,231400
10-Jun-17,226689
17-Jun-17,237407
24-Jun-17,250751
1-Jul-17,278740
8-Jul-17,253421
15-Jul-17,217557
22-Jul-17,196655
29-Jul-17,209197
5-Aug-17,195992
12-Aug-17,192924
19-Aug-17,194239
26-Aug-17,248670
2-Sep-17,211323
9-Sep-17,210263
16-Sep-17,212164
23-Sep-17,202986
30-Sep-17,227448
7-Oct-17,202584
14-Oct-17,211509
21-Oct-17,209116
28-Oct-17,233148
4-Nov-17,229427
11-Nov-17,267431
18-Nov-17,221446
25-Nov-17,318289
2-Dec-17,275657
9-Dec-17,282337
16-Dec-17,321630
23-Dec-17,348854
30-Dec-17,401647
6-Jan-18,350308
13-Jan-18,257333
20-Jan-18,264775
27-Jan-18,240083
3-Feb-18,231343
10-Feb-18,210218
17-Feb-18,194853
24-Feb-18,224557
3-Mar-18,203306
10-Mar-18,197201
17-Mar-18,194040
24-Mar-18,199923
31-Mar-18,229969
7-Apr-18,224664
14-Apr-18,198799
21-Apr-18,185097
28-Apr-18,188958
5-May-18,193969
12-May-18,205747
19-May-18,201237
26-May-18,189952
2-Jun-18,214774
9-Jun-18,202875
16-Jun-18,220646
23-Jun-18,229904
30-Jun-18,262003
7-Jul-18,230145
14-Jul-18,199265
21-Jul-18,178093
28-Jul-18,182867
4-Aug-18,177870
11-Aug-18,171593
18-Aug-18,174233
25-Aug-18,172175
1-Sep-18,161235
8-Sep-18,172245
15-Sep-18,171525
22-Sep-18,170454
29-Sep-18,191863
6-Oct-18,188222
13-Oct-18,196558
20-Oct-18,196720
27-Oct-18,213018
3-Nov-18,234208
10-Nov-18,225042
17-Nov-18,217512
24-Nov-18,316015
1-Dec-18,259847
8-Dec-18,253650
15-Dec-18,289641
22-Dec-18,325403
29-Dec-18,348695
5-Jan-19,339740
12-Jan-19,266552
19-Jan-19,248471
26-Jan-19,252457
2-Feb-19,240644
9-Feb-19,209135
16-Feb-19,201485
23-Feb-19,218957
2-Mar-19,207753
9-Mar-19,192710
16-Mar-19,188609
23-Mar-19,182223
30-Mar-19,194432
6-Apr-19,194503
13-Apr-19,210297
20-Apr-19,202990
27-Apr-19,202318
4-May-19,186697
11-May-19,190287
18-May-19,196312
25-May-19,187838
1-Jun-19,217466
8-Jun-19,202974
15-Jun-19,223195
22-Jun-19,222414
29-Jun-19,230015
6-Jul-19,241034
13-Jul-19,194420
20-Jul-19,177214
27-Jul-19,178031
3-Aug-19,185050
10-Aug-19,169643
17-Aug-19,175163
24-Aug-19,178125
31-Aug-19,158759
7-Sep-19,171518
14-Sep-19,173922
21-Sep-19,171730
28-Sep-19,186126
5-Oct-19,199694
12-Oct-19,185314
19-Oct-19,197138
26-Oct-19,204001
2-Nov-19,237197
9-Nov-19,226295
16-Nov-19,250885
23-Nov-19,215421
30-Nov-19,315891
7-Dec-19,268931
14-Dec-19,285337
21-Dec-19,311128
28-Dec-19,334151
4-Jan-20,336232
11-Jan-20,277800
18-Jan-20,225439
25-Jan-20,221971
1-Feb-20,217271
8-Feb-20,207235
15-Feb-20,197411
22-Feb-20,215197
7-Mar-20,198497
14-Mar-20,248987
21-Mar-20,2883448
